TeamName,Position,Depth,PlayerName,PlayerURL,PlayerUID,InjuryStatus
Tampa Bay Buccaneers,PK,1,Chase McLaughlin,https://www.espn.com/nfl/player/_/id/3150744/chase-mclaughlin,s:20~l:28~a:3150744,
Tampa Bay Buccaneers,PK,2,Ryan Coe,https://www.espn.com/nfl/player/_/id/4578233/ryan-coe,s:20~l:28~a:4578233,
Tampa Bay Buccaneers,PK,3,,,,Empty Slot
Tampa Bay Buccaneers,PK,4,,,,Empty Slot
Tampa Bay Buccaneers,P,1,Riley Dixon,https://www.espn.com/nfl/player/_/id/2577619/riley-dixon,s:20~l:28~a:2577619,
Tampa Bay Buccaneers,P,2,Jake Julien,https://www.espn.com/nfl/player/_/id/4244814/jake-julien,s:20~l:28~a:4244814,
Tampa Bay Buccaneers,P,3,,,,Empty Slot
Tampa Bay Buccaneers,P,4,,,,Empty Slot
Tampa Bay Buccaneers,H,1,Riley Dixon,https://www.espn.com/nfl/player/_/id/2577619/riley-dixon,s:20~l:28~a:2577619,
Tampa Bay Buccaneers,H,2,Jake Julien,https://www.espn.com/nfl/player/_/id/4244814/jake-julien,s:20~l:28~a:4244814,
Tampa Bay Buccaneers,H,3,,,,Empty Slot
Tampa Bay Buccaneers,H,4,,,,Empty Slot
Tampa Bay Buccaneers,PR,1,Trey Palmer,https://www.espn.com/nfl/player/_/id/4426407/trey-palmer,s:20~l:28~a:4426407,
Tampa Bay Buccaneers,PR,2,Jalen McMillan,https://www.espn.com/nfl/player/_/id/4430834/jalen-mcmillan,s:20~l:28~a:4430834,
Tampa Bay Buccaneers,PR,3,Kameron Johnson,https://www.espn.com/nfl/player/_/id/5097554/kameron-johnson,s:20~l:28~a:5097554,
Tampa Bay Buccaneers,PR,4,Tez Johnson,https://www.espn.com/nfl/player/_/id/4608810/tez-johnson,s:20~l:28~a:4608810,
Tampa Bay Buccaneers,KR,1,Sean Tucker,https://www.espn.com/nfl/player/_/id/4430871/sean-tucker,s:20~l:28~a:4430871,
Tampa Bay Buccaneers,KR,2,Rakim Jarrett,https://www.espn.com/nfl/player/_/id/4429006/rakim-jarrett,s:20~l:28~a:4429006,
Tampa Bay Buccaneers,KR,3,Bucky Irving,https://www.espn.com/nfl/player/_/id/4596448/bucky-irving,s:20~l:28~a:4596448,
Tampa Bay Buccaneers,KR,4,D.J. Williams,https://www.espn.com/nfl/player/_/id/4567216/dj-williams,s:20~l:28~a:4567216,
Tampa Bay Buccaneers,LS,1,Evan Deckers,https://www.espn.com/nfl/player/_/id/4361727/evan-deckers,s:20~l:28~a:4361727,
Tampa Bay Buccaneers,LS,2,,,,Empty Slot
Tampa Bay Buccaneers,LS,3,,,,Empty Slot
Tampa Bay Buccaneers,LS,4,,,,Empty Slot
