TeamName,Position,Depth,PlayerName,PlayerURL,PlayerUID,InjuryStatus
Tennessee Titans,QB,1,Cameron Ward,https://www.espn.com/nfl/player/_/id/4688380/cameron-ward,s:20~l:28~a:4688380,
Tennessee Titans,QB,2,Will Levis,https://www.espn.com/nfl/player/_/id/4361418/will-levis,s:20~l:28~a:4361418,
Tennessee Titans,QB,3,Brandon Allen,https://www.espn.com/nfl/player/_/id/2574511/brandon-allen,s:20~l:28~a:2574511,
Tennessee Titans,QB,4,Tim Boyle,https://www.espn.com/nfl/player/_/id/3045169/tim-boyle,s:20~l:28~a:3045169,
Tennessee Titans,RB,1,Tony Pollard,https://www.espn.com/nfl/player/_/id/3916148/tony-pollard,s:20~l:28~a:3916148,
Tennessee Titans,RB,2,Tyjae Spears,https://www.espn.com/nfl/player/_/id/4428557/tyjae-spears,s:20~l:28~a:4428557,
Tennessee Titans,RB,3,Julius Chestnut,https://www.espn.com/nfl/player/_/id/4367567/julius-chestnut,s:20~l:28~a:4367567,
Tennessee Titans,RB,4,Kalel Mullings,https://www.espn.com/nfl/player/_/id/4429121/kalel-mullings,s:20~l:28~a:4429121,
Tennessee Titans,WR,1,Calvin Ridley,https://www.espn.com/nfl/player/_/id/3925357/calvin-ridley,s:20~l:28~a:3925357,
Tennessee Titans,WR,2,Van Jefferson,https://www.espn.com/nfl/player/_/id/3930066/van-jefferson,s:20~l:28~a:3930066,
Tennessee Titans,WR,3,Mason Kinsey,https://www.espn.com/nfl/player/_/id/4057082/mason-kinsey,s:20~l:28~a:4057082,
Tennessee Titans,WR,4,Colton Dowell,https://www.espn.com/nfl/player/_/id/4250945/colton-dowell,s:20~l:28~a:4250945,
Tennessee Titans,WR,1,Tyler Lockett,https://www.espn.com/nfl/player/_/id/2577327/tyler-lockett,s:20~l:28~a:2577327,
Tennessee Titans,WR,2,Chimere Dike,https://www.espn.com/nfl/player/_/id/4431268/chimere-dike,s:20~l:28~a:4431268,
Tennessee Titans,WR,3,James Proche II,https://www.espn.com/nfl/player/_/id/3916204/james-proche-ii,s:20~l:28~a:3916204,
Tennessee Titans,WR,4,Bryce Oliver,https://www.espn.com/nfl/player/_/id/4362617/bryce-oliver,s:20~l:28~a:4362617,
Tennessee Titans,WR,1,Treylon Burks,https://www.espn.com/nfl/player/_/id/4567156/treylon-burks,s:20~l:28~a:4567156,Q
Tennessee Titans,WR,2,Elic Ayomanor,https://www.espn.com/nfl/player/_/id/4883647/elic-ayomanor,s:20~l:28~a:4883647,
Tennessee Titans,WR,3,Jha'Quan Jackson,https://www.espn.com/nfl/player/_/id/4427575/jhaquan-jackson,s:20~l:28~a:4427575,
Tennessee Titans,WR,4,Xavier Restrepo,https://www.espn.com/nfl/player/_/id/4431353/xavier-restrepo,s:20~l:28~a:4431353,
Tennessee Titans,TE,1,Chig Okonkwo,https://www.espn.com/nfl/player/_/id/4360635/chig-okonkwo,s:20~l:28~a:4360635,
Tennessee Titans,TE,2,Josh Whyle,https://www.espn.com/nfl/player/_/id/4360086/josh-whyle,s:20~l:28~a:4360086,
Tennessee Titans,TE,3,Gunnar Helm,https://www.espn.com/nfl/player/_/id/4686728/gunnar-helm,s:20~l:28~a:4686728,
Tennessee Titans,TE,4,David Martin-Robinson,https://www.espn.com/nfl/player/_/id/4360978/david-martin-robinson,s:20~l:28~a:4360978,
Tennessee Titans,LT,1,Dan Moore Jr.,https://www.espn.com/nfl/player/_/id/4240920/dan-moore-jr,s:20~l:28~a:4240920,
Tennessee Titans,LT,2,Olisaemeka Udoh,https://www.espn.com/nfl/player/_/id/3120502/olisaemeka-udoh,s:20~l:28~a:3120502,
Tennessee Titans,LT,3,John Ojukwu,https://www.espn.com/nfl/player/_/id/4240015/john-ojukwu,s:20~l:28~a:4240015,
Tennessee Titans,LT,4,,,,Empty Slot
Tennessee Titans,LG,1,Peter Skoronski,https://www.espn.com/nfl/player/_/id/4429100/peter-skoronski,s:20~l:28~a:4429100,
Tennessee Titans,LG,2,Jackson Slater,https://www.espn.com/nfl/player/_/id/4876319/jackson-slater,s:20~l:28~a:4876319,
Tennessee Titans,LG,3,Sam Mustipher,https://www.espn.com/nfl/player/_/id/3129307/sam-mustipher,s:20~l:28~a:3129307,
Tennessee Titans,LG,4,Chandler Brewer,https://www.espn.com/nfl/player/_/id/3914440/chandler-brewer,s:20~l:28~a:3914440,
Tennessee Titans,C,1,Lloyd Cushenberry III,https://www.espn.com/nfl/player/_/id/4035448/lloyd-cushenberry-iii,s:20~l:28~a:4035448,
Tennessee Titans,C,2,Brenden Jaimes,https://www.espn.com/nfl/player/_/id/4240800/brenden-jaimes,s:20~l:28~a:4240800,
Tennessee Titans,C,3,Corey Levin,https://www.espn.com/nfl/player/_/id/2973637/corey-levin,s:20~l:28~a:2973637,
Tennessee Titans,C,4,,,,Empty Slot
