TeamName,Position,Depth,PlayerName,PlayerURL,PlayerUID,InjuryStatus
Tennessee Titans,PK,1,Joey Slye,https://www.espn.com/nfl/player/_/id/3124084/joey-slye,s:20~l:28~a:3124084,
Tennessee Titans,PK,2,,,,Empty Slot
Tennessee Titans,PK,3,,,,Empty Slot
Tennessee Titans,PK,4,,,,Empty Slot
Tennessee Titans,P,1,Johnny Hekker,https://www.espn.com/nfl/player/_/id/15153/johnny-hekker,s:20~l:28~a:15153,
Tennessee Titans,P,2,,,,Empty Slot
Tennessee Titans,P,3,,,,Empty Slot
Tennessee Titans,P,4,,,,Empty Slot
Tennessee Titans,H,1,Johnny Hekker,https://www.espn.com/nfl/player/_/id/15153/johnny-hekker,s:20~l:28~a:15153,
Tennessee Titans,H,2,,,,Empty Slot
Tennessee Titans,H,3,,,,Empty Slot
Tennessee Titans,H,4,,,,Empty Slot
Tennessee Titans,PR,1,Chimere Dike,https://www.espn.com/nfl/player/_/id/4431268/chimere-dike,s:20~l:28~a:4431268,
Tennessee Titans,PR,2,Mason Kinsey,https://www.espn.com/nfl/player/_/id/4057082/mason-kinsey,s:20~l:28~a:4057082,
Tennessee Titans,PR,3,James Proche II,https://www.espn.com/nfl/player/_/id/3916204/james-proche-ii,s:20~l:28~a:3916204,
Tennessee Titans,PR,4,Jha'Quan Jackson,https://www.espn.com/nfl/player/_/id/4427575/jhaquan-jackson,s:20~l:28~a:4427575,
Tennessee Titans,KR,1,Julius Chestnut,https://www.espn.com/nfl/player/_/id/4367567/julius-chestnut,s:20~l:28~a:4367567,
Tennessee Titans,KR,2,Bryce Oliver,https://www.espn.com/nfl/player/_/id/4362617/bryce-oliver,s:20~l:28~a:4362617,
Tennessee Titans,KR,3,Tyjae Spears,https://www.espn.com/nfl/player/_/id/4428557/tyjae-spears,s:20~l:28~a:4428557,
Tennessee Titans,KR,4,Jha'Quan Jackson,https://www.espn.com/nfl/player/_/id/4427575/jhaquan-jackson,s:20~l:28~a:4427575,
Tennessee Titans,LS,1,Morgan Cox,https://www.espn.com/nfl/player/_/id/13848/morgan-cox,s:20~l:28~a:13848,
Tennessee Titans,LS,2,,,,Empty Slot
Tennessee Titans,LS,3,,,,Empty Slot
Tennessee Titans,LS,4,,,,Empty Slot
