TeamName,Position,Depth,PlayerName,PlayerURL,PlayerUID,InjuryStatus
Washington Commanders,PK,1,Matt Gay,https://www.espn.com/nfl/player/_/id/4249087/matt-gay,s:20~l:28~a:4249087,
Washington Commanders,PK,2,,,,Empty Slot
Washington Commanders,PK,3,,,,Empty Slot
Washington Commanders,PK,4,,,,Empty Slot
Washington Commanders,P,1,Tress Way,https://www.espn.com/nfl/player/_/id/16166/tress-way,s:20~l:28~a:16166,
Washington Commanders,P,2,,,,Empty Slot
Washington Commanders,P,3,,,,Empty Slot
Washington Commanders,P,4,,,,Empty Slot
Washington Commanders,H,1,Tress Way,https://www.espn.com/nfl/player/_/id/16166/tress-way,s:20~l:28~a:16166,
Washington Commanders,H,2,,,,Empty Slot
Washington Commanders,H,3,,,,Empty Slot
Washington Commanders,H,4,,,,Empty Slot
Washington Commanders,PR,1,Jaylin Lane,https://www.espn.com/nfl/player/_/id/4602667/jaylin-lane,s:20~l:28~a:4602667,
Washington Commanders,PR,2,,,,Empty Slot
Washington Commanders,PR,3,,,,Empty Slot
Washington Commanders,PR,4,,,,Empty Slot
Washington Commanders,KR,1,Austin Ekeler,https://www.espn.com/nfl/player/_/id/3068267/austin-ekeler,s:20~l:28~a:3068267,
Washington Commanders,KR,2,Deebo Samuel Sr.,https://www.espn.com/nfl/player/_/id/3126486/deebo-samuel-sr,s:20~l:28~a:3126486,
Washington Commanders,KR,3,Luke McCaffrey,https://www.espn.com/nfl/player/_/id/4426948/luke-mccaffrey,s:20~l:28~a:4426948,
Washington Commanders,KR,4,Jeremy McNichols,https://www.espn.com/nfl/player/_/id/3127586/jeremy-mcnichols,s:20~l:28~a:3127586,
Washington Commanders,LS,1,Tyler Ott,https://www.espn.com/nfl/player/_/id/17378/tyler-ott,s:20~l:28~a:17378,
Washington Commanders,LS,2,,,,Empty Slot
Washington Commanders,LS,3,,,,Empty Slot
Washington Commanders,LS,4,,,,Empty Slot
